"","head_x","head_y","head_p","center_x","center_y","center_p","leftleg_x","leftleg_y","leftleg_p","rightleg_x","rightleg_y","rightleg_p","Movement_head","Movement_center","Movement_leftleg","Movement_rightleg","All_bp_movements_Animal_1_sum","All_bp_movements_Animal_1_mean","All_bp_movements_Animal_1_min","All_bp_movements_Animal_1_max","Mean_All_bp_movements_Animal_1_mean_2","Sum_All_bp_movements_Animal_1_mean_2","Mean_All_bp_movements_Animal_1_mean_5","Sum_All_bp_movements_Animal_1_mean_5","Mean_All_bp_movements_Animal_1_mean_6","Sum_All_bp_movements_Animal_1_mean_6","Mean_All_bp_movements_Animal_1_mean_7.5","Sum_All_bp_movements_Animal_1_mean_7.5","Mean_All_bp_movements_Animal_1_mean_15","Sum_All_bp_movements_Animal_1_mean_15","Sum_probabilities","Mean_probabilities","Low_prob_detections_0.1","Low_prob_detections_0.5","Low_prob_detections_0.75"
"0",136.38411,731.1425,0.019837156,139.96895,713.7543,0.02549609,403.33322,949.52856,0.020607872,3.4621148,298.62427,0.019227337,5683.5854,5558.222,7883.5435,2282.1665,21407.518,5351.8794,2282.1665,7883.5435,5351.87939453125,5351.87939453125,5351.87939453125,5351.87939453125,5351.87939453125,5351.87939453125,5351.87939453125,5351.87939453125,5351.87939453125,5351.87939453125,0.08516845,0.021292113,4,4,4
"1",136.38411,731.2335,0.019755496,400.0276,953.6675,0.020977704,403.33322,950.38477,0.013832509,3.4660902,298.62527,0.01922836,0.69542575,2703.8083,6.542879,0.0313386,2711.078,677.7695,0.0313386,2703.8083,3014.824432373047,6029.648864746094,3014.824432373047,6029.648864746094,3014.824432373047,6029.648864746094,3014.824432373047,6029.648864746094,3014.824432373047,6029.648864746094,0.07379407,0.018448517,4,4,4
"2",136.38557,731.2335,0.019755496,401.07346,953.6675,0.024881763,405.99994,950.38477,0.019609982,3.483762,298.62527,0.021869864,0.011193977,7.9922657,20.3784,0.13504374,28.516905,7.129226,0.011193977,20.3784,342.44934821128845,684.8986964225769,2012.2593636512756,6036.778090953827,2012.2593636512756,6036.778090953827,2012.2593636512756,6036.778090953827,2012.2593636512756,6036.778090953827,0.0861171,0.021529276,4,4,4
"3",136.38557,731.2335,0.024113547,400.0276,952.26575,0.029210545,405.99994,950.3013,0.027792336,3.5559793,298.63693,0.019377979,0,13.364763,0.63805664,0.5590104,14.5618305,3.6404576,0,13.364763,5.3848419189453125,10.769683837890625,1510.104637145996,6040.418548583984,1510.104637145996,6040.418548583984,1510.104637145996,6040.418548583984,1510.104637145996,6040.418548583984,0.10049441,0.025123602,4,4,4
"4",375.67065,919.9564,0.019818956,400.0276,952.26575,0.02544696,405.99994,949.52856,0.023670357,424.5713,941.17725,0.018924577,2328.8386,0,5.9048223,5870.2993,8205.043,2051.2607,0,5870.2993,1027.4505999088287,2054.9011998176575,1618.3358581542968,8091.679290771484,1618.3358581542968,8091.679290771484,1618.3358581542968,8091.679290771484,1618.3358581542968,8091.679290771484,0.08786085,0.021965213,4,4,4
"5",375.67065,933.5156,0.020748029,399.55377,948.7383,0.030096093,405.99994,948.23004,0.030758493,424.5713,941.17725,0.02058345,103.61611,27.198116,9.922994,0,140.73721,35.184303,0,103.61611,1043.2225227355957,2086.4450454711914,554.9968399047851,2774.984199523926,1354.4772656758626,8126.863594055176,1354.4772656758626,8126.863594055176,1354.4772656758626,8126.863594055176,0.10218607,0.025546517,4,4,4
"6",375.3209,920.08527,0.02814906,399.55377,948.7383,0.04497671,405.99994,948.04156,0.043149088,425.3333,941.32355,0.029158803,102.666306,0,1.4402916,5.929551,110.03615,27.509037,0,102.666306,31.346670150756836,62.69334030151367,424.9447532653809,2124.7237663269043,467.0822060902913,2802.493236541748,1164.9103758675712,8154.372631072998,1164.9103758675712,8154.372631072998,0.14543366,0.036358416,4,4,4
"7",375.67065,933.5156,0.026051816,399.55377,948.7383,0.039729163,435.1708,948.04156,0.041841656,425.64218,941.46234,0.03126513,102.666306,0,222.91661,2.5876503,328.17056,82.04264,0,222.91661,54.77583885192871,109.55167770385742,439.92743616104127,2199.6371808052063,367.79440116882324,2206.7664070129395,412.07655388968334,2884.535877227783,1029.5519089698792,8236.415271759033,0.13888776,0.03472194,4,4,4
"8",375.67065,933.5156,0.020652892,397.4539,970.5004,0.034332428,389.83087,948.04156,0.044370275,425.64218,974.0503,0.026185641,0,167.07338,346.47665,249.02913,762.57916,190.64479,0,346.47665,136.3437156677246,272.6874313354492,477.32830276489256,2386.641513824463,398.3803285757701,2390.2819714546204,342.4873139517648,2397.4111976623535,936.340006934272,8427.060062408447,0.12554124,0.03138531,4,4,4
"9",441.50427,983.0792,0.029421264,444.4798,970.8144,0.030802386,389.83087,948.174,0.039196488,440.94736,974.99146,0.029649321,629.7202,359.36847,1.012122,117.17932,1107.2802,276.82004,1.012122,629.7202,233.73241424560547,467.46482849121094,122.44016189575196,612.2008094787598,443.9102586110433,2663.4615516662598,381.014572756631,2667.1020092964172,870.3880100250244,8703.880100250244,0.12906946,0.032267366,4,4,4
