"","head_x","head_y","head_p","center_x","center_y","center_p","leftleg_x","leftleg_y","leftleg_p","rightleg_x","rightleg_y","rightleg_p","Movement_head","Movement_center","Movement_leftleg","Movement_rightleg","All_bp_movements_Animal_1_sum","All_bp_movements_Animal_1_mean","All_bp_movements_Animal_1_min","All_bp_movements_Animal_1_max","Mean_All_bp_movements_Animal_1_mean_2","Sum_All_bp_movements_Animal_1_mean_2","Mean_All_bp_movements_Animal_1_mean_5","Sum_All_bp_movements_Animal_1_mean_5","Mean_All_bp_movements_Animal_1_mean_6","Sum_All_bp_movements_Animal_1_mean_6","Mean_All_bp_movements_Animal_1_mean_7.5","Sum_All_bp_movements_Animal_1_mean_7.5","Mean_All_bp_movements_Animal_1_mean_15","Sum_All_bp_movements_Animal_1_mean_15","Sum_probabilities","Mean_probabilities","Low_prob_detections_0.1","Low_prob_detections_0.5","Low_prob_detections_0.75","Probability_walk","walk"
"0",1432.9941,1067.4678,0.033464216,1435.0779,1084.115,0.025279453,1437.87,1060.5203,0.023206523,1435.0472,1055.501,0.024450794,11879.309,11956.802,11877.846,11842.947,47556.9,11889.225,11842.947,11956.802,11889.225,11889.225,11889.225,11889.225,11889.225,11889.225,11889.225,11889.225,11889.225,11889.225,0.10640099,0.026600247,4,4,4,0.7055,0
"1",1432.8615,1079.0912,0.020240754,1435.0105,1084.825,0.025556693,1439.6433,1076.1648,0.01957051,1429.1095,1086.0642,0.025602048,77.27809,4.7410684,104.671684,206.98495,393.67578,98.418945,4.7410684,206.98495,5993.822,11987.644,5993.822,11987.644,5993.822,11987.644,5993.822,11987.644,5993.822,11987.644,0.09097,0.0227425,4,4,4,0.9515,1
"2",1453.8171,1081.2094,0.026034603,1419.9515,1069.0374,0.02169269,1421.747,1070.3359,0.016759312,1431.0453,1068.0773,0.022895936,140.02438,145.0465,125.127464,120.268616,530.4669,132.61673,120.268616,145.0465,115.51784,231.03568,4040.0867,12120.261,4040.0867,12120.261,4040.0867,12120.261,4040.0867,12120.261,0.08738254,0.021845635,4,4,4,0.9565,1
"3",1452.84,1078.5886,0.042143416,1448.5653,1070.5792,0.041047823,1453.6106,1075.0553,0.031078173,1449.9937,1071.1096,0.036641844,18.594448,190.5018,214.14206,127.57258,550.8109,137.70273,18.594448,214.14206,135.15973,270.31946,3064.4907,12257.963,3064.4907,12257.963,3064.4907,12257.963,3064.4907,12257.963,0.15091126,0.037727814,4,4,4,0.975,1
"4",1449.8109,1063.1456,0.06426773,1448.9974,1069.741,0.05525477,1453.3937,1060.8981,0.04585115,1450.5787,1071.9415,0.051629134,104.62209,6.2696805,94.129036,6.7614155,211.78223,52.945557,6.2696805,104.62209,95.32414,190.64828,2462.1816,12310.908,2462.1816,12310.908,2462.1816,12310.908,2462.1816,12310.908,0.21700278,0.054250695,4,4,4,0.978,1
"5",1449.7969,1065.4738,0.031253222,1450.2894,1052.1844,0.031128747,1454.6528,1059.5085,0.02826027,1449.5985,1055.043,0.030751659,15.4777775,117.03227,12.466215,112.53136,257.50763,64.37691,12.466215,117.03227,58.661232,117.322464,97.21217,486.06085,2062.5476,12375.285,2062.5476,12375.285,2062.5476,12375.285,0.1213939,0.030348474,4,4,4,0.986,1
"6",1435.4485,1068.2006,0.03453935,1435.577,1067.4481,0.045321144,1438.2577,1069.9642,0.03057205,1435.7627,1071.9591,0.044099316,97.0961,140.93784,129.27379,145.28473,512.59247,128.14812,97.0961,145.28473,96.26251,192.52502,103.158005,515.79004,102.368164,614.209,1786.2048,12503.434,1786.2048,12503.434,0.15453187,0.038632967,4,4,4,0.971,1
"7",-4.536067,1304.4202,0.016583517,1434.4956,1069.9275,0.0149423545,1436.5386,1069.1345,0.010740157,5.257638,907.4891,0.015098807,9701.044,17.982641,12.690265,9572.723,19304.44,4826.11,12.690265,9701.044,2477.129,4954.258,1041.8567,5209.283,890.31665,5341.9,777.1884,5440.319,2166.1929,17329.543,0.057364836,0.014341209,4,4,4,0.7325,1
"8",-4.5198135,1304.416,0.016616795,1465.9421,1055.492,0.016828505,1464.9482,1050.584,0.0113956425,5.2578297,907.48944,0.015097431,0.11152117,230.03313,225.56712,0.0027479462,455.71454,113.928635,0.0027479462,230.03313,2470.0193,4940.0386,1037.1018,5185.5093,887.20197,5323.212,779.40405,5455.8286,1938.1636,17443.473,0.05993837,0.014984593,4,4,4,0.949,1
"9",1452.7522,1085.3435,0.016921083,1451.4559,1088.016,0.021759383,1449.3926,1080.4652,0.013866243,1449.4462,1083.1505,0.02077159,9796.88,236.69904,223.95811,9671.8,19929.336,4982.334,223.95811,9796.88,2548.1313,5096.2627,2022.9795,10114.897,1694.6405,10167.843,1472.2208,10305.546,2242.5806,22425.807,0.073318295,0.018329574,4,4,4,0.683,1
"10",-4.5033016,1304.4176,0.01670014,1450.6954,1088.3314,0.017538117,1450.0446,1081.1093,0.012345649,1449.4631,1083.044,0.018053655,9796.772,5.4734635,6.0925546,0.7173896,9809.057,2452.2642,0.7173896,9796.772,3717.299,7434.598,2500.557,12502.785,2094.5269,12567.162,1802.8724,12620.107,2261.6428,24878.07,0.06463756,0.01615939,4,4,4,0.785,1
"11",-4.5033016,1304.4176,0.01670014,1450.0905,1087.8333,0.01677616,1451.641,1081.0618,0.010507542,1448.917,1082.4471,0.016926114,0,5.210027,10.617881,5.3781223,21.20603,5.3015075,0,10.617881,1228.7828,2457.5657,2475.9875,12379.938,2084.6812,12508.086,1796.0662,12572.463,2073.6143,24883.371,0.060909957,0.015227489,4,4,4,0.976,1
