"","head_x","head_y","head_p","center_x","center_y","center_p","leftleg_x","leftleg_y","leftleg_p","rightleg_x","rightleg_y","rightleg_p","Movement_head","Movement_center","Movement_leftleg","Movement_rightleg","All_bp_movements_Animal_1_sum","All_bp_movements_Animal_1_mean","All_bp_movements_Animal_1_min","All_bp_movements_Animal_1_max","Mean_All_bp_movements_Animal_1_mean_2","Sum_All_bp_movements_Animal_1_mean_2","Mean_All_bp_movements_Animal_1_mean_5","Sum_All_bp_movements_Animal_1_mean_5","Mean_All_bp_movements_Animal_1_mean_6","Sum_All_bp_movements_Animal_1_mean_6","Mean_All_bp_movements_Animal_1_mean_7.5","Sum_All_bp_movements_Animal_1_mean_7.5","Mean_All_bp_movements_Animal_1_mean_15","Sum_All_bp_movements_Animal_1_mean_15","Sum_probabilities","Mean_probabilities","Low_prob_detections_0.1","Low_prob_detections_0.5","Low_prob_detections_0.75","Probability_walk","walk"
"0",327.02298,931.9622,0.13303466,330.53662,927.95703,0.14170857,335.1853,920.60236,0.12177566,331.91986,926.7171,0.12696505,8091.0366,8069.697,8025.9146,8063.943,32250.592,8062.648,8025.9146,8091.0366,8062.648,8062.648,8062.648,8062.648,8062.648,8062.648,8062.648,8062.648,8062.648,8062.648,0.52348393,0.13087098,0,4,4,0.706,0
"1",327.68448,931.9622,0.15349424,330.53662,927.95703,0.15614885,335.1853,920.60236,0.124828786,331.91986,926.7171,0.14342064,5.419014,0,0,0,5.419014,1.3547535,0,5.419014,4032.0015,8064.003,4032.0015,8064.003,4032.0015,8064.003,4032.0015,8064.003,4032.0015,8064.003,0.57789254,0.14447314,0,4,4,0.9515,1
"2",328.42303,931.9622,0.16137531,330.53662,927.95703,0.18075675,335.1853,920.60236,0.12293428,331.91986,926.7171,0.15233393,6.0502653,0,0,0,6.0502653,1.5125663,0,6.0502653,1.4336599,2.8673198,2688.5051,8065.515,2688.5051,8065.515,2688.5051,8065.515,2688.5051,8065.515,0.6174003,0.15435007,0,4,4,0.978,1
"3",328.42303,915.06464,0.16810945,328.80246,912.41003,0.19861425,333.37228,919.1067,0.1405741,330.5409,923.58215,0.14237183,138.42535,128.15118,19.25396,28.05627,313.88678,78.471695,19.25396,138.42535,39.99213,79.98426,2035.9967,8143.987,2035.9967,8143.987,2035.9967,8143.987,2035.9967,8143.987,0.64966965,0.16241741,0,4,4,0.9745,1
"4",328.42596,915.06464,0.16805784,328.80246,912.41003,0.1984211,332.99106,919.092,0.14065112,329.84232,923.58215,0.14227611,0.024000062,0,3.1253316,5.7227645,8.872096,2.218024,0,5.7227645,40.34486,80.68972,1629.241,8146.205,1629.241,8146.205,1629.241,8146.205,1629.241,8146.205,0.6494062,0.16235155,0,4,4,0.977,1
"5",328.42596,915.0644,0.1956054,328.7624,912.4083,0.19419183,332.98483,918.9422,0.12800178,328.83365,911.8147,0.13577747,0.0020000052,0.32854927,1.2280626,96.75274,98.31135,24.577837,0.0020000052,96.75274,13.39793,26.79586,21.626976,108.13487,1361.7971,8170.7827,1361.7971,8170.7827,1361.7971,8170.7827,0.6535765,0.16339412,0,4,4,0.9885,1
"6",328.42303,915.0405,0.08519467,328.76077,912.3484,0.089261286,321.07724,904.0304,0.068175584,329.84232,911.7967,0.07692449,0.19696814,0.49118,156.32657,8.264338,165.27905,41.319763,0.19696814,156.32657,32.9488,65.8976,29.619978,148.09988,24.909107,149.45464,1173.1575,8212.103,1173.1575,8212.103,0.31955603,0.07988901,4,4,4,0.991,1
"7",312.48743,901.3281,0.07210991,328.4547,910.18195,0.080567636,320.14465,903.87634,0.06612809,329.84232,910.42786,0.06755185,172.22223,17.923775,7.7433023,11.213529,209.10283,52.275707,7.7433023,172.22223,46.797737,93.595474,39.772606,198.86302,33.39593,200.3756,28.81862,201.73035,1033.0472,8264.378,0.28635746,0.071589366,4,4,4,1,1
"8",312.4188,901.25055,0.0872725,310.84192,896.86993,0.08315444,319.5869,903.6859,0.0787462,328.83365,910.42786,0.06711765,0.84852165,180.8601,4.827989,8.263021,194.79964,48.69991,0.84852165,180.8601,50.48781,100.97562,33.81825,169.09125,41.26049,247.56294,35.582214,249.0755,923.67535,8313.078,0.3162908,0.0790727,4,4,4,1,1
"9",312.2531,900.87854,0.10203714,305.1,896.6651,0.09521877,319.5869,903.6859,0.09672602,314.03156,910.42786,0.08035449,3.3360817,47.06779,0,121.25906,171.66293,42.915733,0,121.25906,45.807823,91.61565,41.95779,209.78896,35.334496,212.00697,41.496952,290.47867,835.59937,8355.994,0.37433642,0.093584105,3,4,4,1,1
