"","head_x","head_y","head_p","center_x","center_y","center_p","leftleg_x","leftleg_y","leftleg_p","rightleg_x","rightleg_y","rightleg_p"
"0",1432.9941,1067.4678,0.033464216,1435.0779,1084.115,0.025279453,1437.87,1060.5203,0.023206523,1435.0472,1055.501,0.024450794
"1",1432.8615,1079.0912,0.020240754,1435.0105,1084.825,0.025556693,1439.6433,1076.1648,0.01957051,1429.1095,1086.0642,0.025602048
"2",1453.8171,1081.2094,0.026034603,1419.9515,1069.0374,0.02169269,1421.747,1070.3359,0.016759312,1431.0453,1068.0773,0.022895936
"3",1452.84,1078.5886,0.042143416,1448.5653,1070.5792,0.041047823,1453.6106,1075.0553,0.031078173,1449.9937,1071.1096,0.036641844
"4",1449.8109,1063.1456,0.06426773,1448.9974,1069.741,0.05525477,1453.3937,1060.8981,0.04585115,1450.5787,1071.9415,0.051629134
"5",1449.7969,1065.4738,0.031253222,1450.2894,1052.1844,0.031128747,1454.6528,1059.5085,0.02826027,1449.5985,1055.043,0.030751659
"6",1435.4485,1068.2006,0.03453935,1435.577,1067.4481,0.045321144,1438.2577,1069.9642,0.03057205,1435.7627,1071.9591,0.044099316
"7",-4.536067,1304.4202,0.016583517,1434.4956,1069.9275,0.0149423545,1436.5386,1069.1345,0.010740157,5.257638,907.4891,0.015098807
"8",-4.5198135,1304.416,0.016616795,1465.9421,1055.492,0.016828505,1464.9482,1050.584,0.0113956425,5.2578297,907.48944,0.015097431
"9",1452.7522,1085.3435,0.016921083,1451.4559,1088.016,0.021759383,1449.3926,1080.4652,0.013866243,1449.4462,1083.1505,0.02077159
"10",-4.5033016,1304.4176,0.01670014,1450.6954,1088.3314,0.017538117,1450.0446,1081.1093,0.012345649,1449.4631,1083.044,0.018053655
"11",-4.5033016,1304.4176,0.01670014,1450.0905,1087.8333,0.01677616,1451.641,1081.0618,0.010507542,1448.917,1082.4471,0.016926114
"12",-4.4932747,1304.4144,0.016725535,1450.2832,1086.5986,0.016297242,1450.1963,1081.3365,0.010916431,1450.0918,1081.9481,0.016715704
