"","head_x","head_y","head_p","center_x","center_y","center_p","leftleg_x","leftleg_y","leftleg_p","rightleg_x","rightleg_y","rightleg_p"
"0",136.38411,731.1425,0.019837156,139.96895,713.7543,0.02549609,403.33322,949.52856,0.020607872,3.4621148,298.62427,0.019227337
"1",136.38411,731.2335,0.019755496,400.0276,953.6675,0.020977704,403.33322,950.38477,0.013832509,3.4660902,298.62527,0.01922836
"2",136.38557,731.2335,0.019755496,401.07346,953.6675,0.024881763,405.99994,950.38477,0.019609982,3.483762,298.62527,0.021869864
"3",136.38557,731.2335,0.024113547,400.0276,952.26575,0.029210545,405.99994,950.3013,0.027792336,3.5559793,298.63693,0.019377979
"4",375.67065,919.9564,0.019818956,400.0276,952.26575,0.02544696,405.99994,949.52856,0.023670357,424.5713,941.17725,0.018924577
"5",375.67065,933.5156,0.020748029,399.55377,948.7383,0.030096093,405.99994,948.23004,0.030758493,424.5713,941.17725,0.02058345
"6",375.3209,920.08527,0.02814906,399.55377,948.7383,0.04497671,405.99994,948.04156,0.043149088,425.3333,941.32355,0.029158803
"7",375.67065,933.5156,0.026051816,399.55377,948.7383,0.039729163,435.1708,948.04156,0.041841656,425.64218,941.46234,0.03126513
"8",375.67065,933.5156,0.020652892,397.4539,970.5004,0.034332428,389.83087,948.04156,0.044370275,425.64218,974.0503,0.026185641
"9",441.50427,983.0792,0.029421264,444.4798,970.8144,0.030802386,389.83087,948.174,0.039196488,440.94736,974.99146,0.029649321
"10",442.233,983.0792,0.03847974,444.48166,970.8144,0.05481008,435.1708,965.502,0.0330018,440.94736,976.64386,0.040363733
"11",442.233,983.0792,0.06185703,444.4798,970.76434,0.087229654,435.1708,965.502,0.07134798,440.65002,976.64386,0.060179792
"12",442.233,970.83026,0.055234812,397.4539,970.5004,0.06530996,420.67035,965.502,0.053660255,407.98065,976.64386,0.05033897
"13",425.44177,966.82513,0.038882162,399.53815,970.2738,0.05789436,420.67035,963.17395,0.044812705,408.04803,976.10565,0.040219724
"14",411.19745,964.93726,0.04796812,399.2483,969.0961,0.07446172,404.35693,951.6887,0.04375909,407.98065,976.10565,0.04974127
"15",409.85873,966.82513,0.06178186,399.2483,969.0961,0.078703314,404.35693,951.6887,0.06842154,407.98065,976.10565,0.047429346
"16",409.85873,970.83026,0.04383761,399.53815,970.2738,0.06245296,404.35693,963.17395,0.04527199,408.04803,972.83527,0.04760376
"17",409.85873,979.09625,0.09600119,411.8208,969.2842,0.110436626,411.5828,966.305,0.07150857,408.04803,976.16455,0.097647764
"18",408.44977,979.09625,0.07490677,411.8208,970.19653,0.084596194,413.85617,968.5968,0.080259845,403.79495,976.16455,0.07964982
"19",408.1633,979.09625,0.08180566,411.8208,970.70856,0.11043344,414.66525,982.4475,0.08544042,408.09973,975.10095,0.09285079
"20",408.1633,979.01447,0.10203881,410.75577,970.33276,0.146475,417.62997,982.4475,0.1334398,403.79495,975.10095,0.12962031
"21",408.08365,978.9765,0.11466546,409.55096,970.19653,0.15930839,417.62997,982.4475,0.15219022,403.50528,975.10095,0.13113493
"22",408.07013,978.5826,0.12023994,408.58255,970.19653,0.16095126,417.62997,982.4475,0.14047913,399.0786,975.10095,0.13680355
"23",376.7292,970.38727,0.1016711,392.92123,968.2171,0.13491674,398.55307,973.14777,0.12082211,393.93005,974.9397,0.12873772
"24",376.7292,970.2062,0.103591174,379.6357,960.4414,0.12754284,383.4521,966.82367,0.08754216,379.82043,957.51965,0.107766666
"25",375.58615,947.8047,0.120813884,377.89548,956.4615,0.15243158,381.62234,952.8116,0.10331901,376.4451,946.2078,0.10874013
"26",375.3905,947.77405,0.10457268,364.33844,935.4112,0.11601245,368.06418,936.6008,0.08910024,376.18015,945.42804,0.087309286
"27",361.15967,932.2229,0.11498773,363.65793,935.4112,0.117455594,366.70544,936.15515,0.10019223,362.21082,944.8615,0.090670496
"28",360.8976,931.95496,0.09757024,351.48834,932.1041,0.10794872,365.31564,935.8496,0.0803187,360.9748,944.8615,0.07355931
"29",360.5907,931.781,0.11107379,350.92438,931.3007,0.121176586,364.9831,935.68414,0.08722699,360.8511,944.8615,0.09666195
"30",360.8976,931.545,0.11135728,350.3808,932.1041,0.1291265,364.28775,935.56165,0.092086665,360.78473,944.7072,0.09724279
"31",360.8976,931.545,0.116202466,350.26993,932.71844,0.14345029,364.26328,935.56165,0.10010243,360.57483,944.7072,0.1071431
"32",360.4719,931.781,0.13211589,349.93555,932.1041,0.1646255,364.13617,935.68414,0.1042424,360.3739,944.527,0.118003786
"33",344.79236,931.3447,0.10714942,346.838,931.0929,0.12580146,353.09476,935.68414,0.09369436,347.10748,944.7072,0.11362956
"34",344.79236,931.31793,0.11912197,345.1838,929.7126,0.14334226,352.73776,935.682,0.10837126,345.74304,943.3535,0.117350586
"35",343.68332,931.31305,0.15320957,343.99277,929.7126,0.1635001,349.97964,935.682,0.12711672,345.08713,941.3223,0.14409292
"36",343.68332,930.97034,0.18268037,335.05228,928.34357,0.16559052,349.48068,935.04004,0.13386491,345.022,941.3223,0.13488187
"37",329.8812,930.47845,0.1635564,331.23676,928.34357,0.16684234,335.81857,933.70135,0.15367334,335.5143,941.3223,0.13816962
"38",328.89355,930.3078,0.19563915,330.09625,927.9525,0.22429448,335.81857,933.70135,0.16933945,330.53973,928.2075,0.1835343
"39",328.10876,930.00793,0.17551892,329.9627,926.8727,0.22263533,335.5226,932.63666,0.18092066,329.44052,938.1671,0.18992823
"40",328.10876,930.00793,0.1510464,329.7442,926.7147,0.19256027,335.5226,932.63666,0.1604438,328.7854,938.1671,0.17689383
"41",327.81442,922.8666,0.13916086,329.0727,926.49786,0.18327427,318.429,919.6005,0.16672267,321.27927,938.1671,0.1796001
"42",311.82184,915.8815,0.16489306,328.86377,922.9078,0.19528812,318.12894,919.29645,0.18360259,319.27518,938.2773,0.1824021
"43",311.82184,915.67993,0.15713719,312.8641,913.26294,0.20869826,317.6617,919.29645,0.19467865,318.51447,938.2773,0.15448286
"44",311.82184,915.67993,0.15658611,312.8641,913.26294,0.2076366,317.56763,918.9975,0.17657495,313.86935,938.2773,0.15526144
"45",311.82184,915.0651,0.1622745,312.2784,912.6946,0.19533508,317.45676,918.60834,0.15421565,304.23282,938.06744,0.14958398
"46",311.82184,914.74274,0.15269676,311.74234,912.34174,0.20230578,316.22592,918.60834,0.14370789,303.66418,927.94653,0.16312587
"47",298.33408,915.67993,0.16372263,298.5265,911.4543,0.15623169,300.99335,916.42706,0.14504227,298.21628,927.7511,0.116102844
"48",297.28326,898.0949,0.12284795,298.11838,911.4543,0.12573884,300.68448,916.3106,0.10867489,298.21628,925.97906,0.10456246
"49",297.28238,898.0949,0.14288998,296.78802,908.0272,0.13523169,299.08698,904.0624,0.11906739,298.07782,925.47974,0.12875023
