"","head_x","head_y","head_p","center_x","center_y","center_p","leftleg_x","leftleg_y","leftleg_p","rightleg_x","rightleg_y","rightleg_p"
"0",327.02298,931.9622,0.13303466,330.53662,927.95703,0.14170857,335.1853,920.60236,0.12177566,331.91986,926.7171,0.12696505
"1",327.68448,931.9622,0.15349424,330.53662,927.95703,0.15614885,335.1853,920.60236,0.124828786,331.91986,926.7171,0.14342064
"2",328.42303,931.9622,0.16137531,330.53662,927.95703,0.18075675,335.1853,920.60236,0.12293428,331.91986,926.7171,0.15233393
"3",328.42303,915.06464,0.16810945,328.80246,912.41003,0.19861425,333.37228,919.1067,0.1405741,330.5409,923.58215,0.14237183
"4",328.42596,915.06464,0.16805784,328.80246,912.41003,0.1984211,332.99106,919.092,0.14065112,329.84232,923.58215,0.14227611
"5",328.42596,915.0644,0.1956054,328.7624,912.4083,0.19419183,332.98483,918.9422,0.12800178,328.83365,911.8147,0.13577747
"6",328.42303,915.0405,0.08519467,328.76077,912.3484,0.089261286,321.07724,904.0304,0.068175584,329.84232,911.7967,0.07692449
"7",312.48743,901.3281,0.07210991,328.4547,910.18195,0.080567636,320.14465,903.87634,0.06612809,329.84232,910.42786,0.06755185
"8",312.4188,901.25055,0.0872725,310.84192,896.86993,0.08315444,319.5869,903.6859,0.0787462,328.83365,910.42786,0.06711765
"9",312.2531,900.87854,0.10203714,305.1,896.6651,0.09521877,319.5869,903.6859,0.09672602,314.03156,910.42786,0.08035449
"10",312.4188,900.6324,0.104674645,304.85648,896.44684,0.10461287,319.44037,903.3934,0.10321718,313.98148,913.5611,0.08500847
"11",312.4188,900.1069,0.11205061,302.52805,884.578,0.12145394,319.101,903.3934,0.09422149,313.72906,913.5611,0.09453396
"12",312.70102,898.6602,0.12036654,302.52805,884.578,0.16382912,318.22336,902.3778,0.10776827,313.72906,913.5611,0.09866824
"13",312.7516,898.6602,0.11655928,301.99774,884.53503,0.16690592,315.90445,899.4524,0.10424699,313.33026,896.6862,0.09111744
"14",312.7516,886.516,0.14448231,301.99774,884.44086,0.16554812,315.77753,886.1321,0.11867164,313.26413,896.05444,0.12065788
"15",312.70102,886.4583,0.10983317,299.21225,884.41016,0.12647943,315.649,886.8396,0.09227163,312.43146,896.05444,0.09942945
"16",296.80023,884.75433,0.12590833,297.75842,880.7076,0.13057661,301.21753,886.8396,0.09403267,297.5001,896.05444,0.09084976
"17",296.6343,884.6139,0.18054973,296.98236,880.239,0.1771896,300.3044,885.63696,0.14783822,297.49976,895.8229,0.13641362
"18",296.625,884.0405,0.12507837,296.98236,880.239,0.13431387,298.82617,885.63696,0.114717074,297.09946,895.8229,0.1074111
"19",280.8707,884.0405,0.104286864,296.98236,880.621,0.08272559,298.82617,886.2366,0.092971906,297.09946,895.8229,0.082577854
"20",280.8707,867.42365,0.10790312,282.99414,880.621,0.11657946,287.86478,885.63696,0.09594592,296.87375,895.7693,0.11591643
"21",280.8707,867.4152,0.11432575,282.80756,873.6359,0.13918075,286.28986,880.0591,0.09680108,281.35507,881.48914,0.120936975
"22",281.1117,867.4152,0.10772477,282.80756,873.6359,0.13602412,285.1089,880.0591,0.09283891,281.2565,881.48914,0.130955
"23",281.42194,866.67883,0.11665611,282.32034,873.6359,0.14619924,284.98007,872.1811,0.09706034,281.0083,881.2388,0.11762901
"24",281.8807,866.5232,0.15901798,282.32034,873.41437,0.15473421,284.02615,871.06323,0.11217996,280.89758,881.2388,0.11771984
"25",281.42194,866.5232,0.1577171,282.32034,873.30035,0.15620194,283.9644,870.60236,0.111680366,280.7634,881.2388,0.116356835
"26",281.42194,866.182,0.09778445,267.04666,856.18536,0.12728459,271.19598,856.06445,0.09509847,265.68277,879.3182,0.095309824
"27",262.95383,865.8947,0.093869165,262.06235,847.8231,0.102393664,271.19598,855.9218,0.07892978,264.6323,865.9968,0.08815585
"28",262.5916,852.5826,0.11817268,261.8751,847.8231,0.14161795,271.19598,855.9218,0.12033918,258.57672,865.5649,0.0961152
