"","head_x","head_y","head_p","center_x","center_y","center_p","leftleg_x","leftleg_y","leftleg_p","rightleg_x","rightleg_y","rightleg_p","Movement_head","Movement_center","Movement_leftleg","Movement_rightleg","All_bp_movements_Animal_1_sum","All_bp_movements_Animal_1_mean","All_bp_movements_Animal_1_min","All_bp_movements_Animal_1_max","Mean_All_bp_movements_Animal_1_mean_2","Sum_All_bp_movements_Animal_1_mean_2","Mean_All_bp_movements_Animal_1_mean_5","Sum_All_bp_movements_Animal_1_mean_5","Mean_All_bp_movements_Animal_1_mean_6","Sum_All_bp_movements_Animal_1_mean_6","Mean_All_bp_movements_Animal_1_mean_7.5","Sum_All_bp_movements_Animal_1_mean_7.5","Mean_All_bp_movements_Animal_1_mean_15","Sum_All_bp_movements_Animal_1_mean_15","Sum_probabilities","Mean_probabilities","Low_prob_detections_0.1","Low_prob_detections_0.5","Low_prob_detections_0.75","walk"
"0",136.38411,731.1425,0.019837156,139.96895,713.7543,0.02549609,403.33322,949.52856,0.020607872,3.4621148,298.62427,0.019227337,5683.5854,5558.222,7883.5435,2282.1665,21407.518,5351.8794,2282.1665,7883.5435,5351.8794,5351.8794,5351.8794,5351.8794,5351.8794,5351.8794,5351.8794,5351.8794,5351.8794,5351.8794,0.08516845,0.021292113,4,4,4,1
"1",136.38411,731.2335,0.019755496,400.0276,953.6675,0.020977704,403.33322,950.38477,0.013832509,3.4660902,298.62527,0.01922836,0.69542575,2703.8083,6.542879,0.0313386,2711.078,677.7695,0.0313386,2703.8083,3014.8245,6029.649,3014.8245,6029.649,3014.8245,6029.649,3014.8245,6029.649,3014.8245,6029.649,0.07379407,0.018448517,4,4,4,1
"2",136.38557,731.2335,0.019755496,401.07346,953.6675,0.024881763,405.99994,950.38477,0.019609982,3.483762,298.62527,0.021869864,0.011193977,7.9922657,20.3784,0.13504374,28.516905,7.129226,0.011193977,20.3784,342.44934,684.8987,2012.2594,6036.7783,2012.2594,6036.7783,2012.2594,6036.7783,2012.2594,6036.7783,0.0861171,0.021529276,4,4,4,1
"3",136.38557,731.2335,0.024113547,400.0276,952.26575,0.029210545,405.99994,950.3013,0.027792336,3.5559793,298.63693,0.019377979,0,13.364763,0.63805664,0.5590104,14.5618305,3.6404576,0,13.364763,5.384842,10.769684,1510.1046,6040.4185,1510.1046,6040.4185,1510.1046,6040.4185,1510.1046,6040.4185,0.10049441,0.025123602,4,4,4,1
"4",375.67065,919.9564,0.019818956,400.0276,952.26575,0.02544696,405.99994,949.52856,0.023670357,424.5713,941.17725,0.018924577,2328.8386,0,5.9048223,5870.2993,8205.043,2051.2607,0,5870.2993,1027.4506,2054.9011,1618.3358,8091.679,1618.3358,8091.679,1618.3358,8091.679,1618.3358,8091.679,0.08786085,0.021965213,4,4,4,1
"5",375.67065,933.5156,0.020748029,399.55377,948.7383,0.030096093,405.99994,948.23004,0.030758493,424.5713,941.17725,0.02058345,103.61611,27.198116,9.922994,0,140.73721,35.184303,0,103.61611,1043.2225,2086.445,554.9968,2774.9841,1354.4773,8126.864,1354.4773,8126.864,1354.4773,8126.864,0.10218607,0.025546517,4,4,4,1
"6",375.3209,920.08527,0.02814906,399.55377,948.7383,0.04497671,405.99994,948.04156,0.043149088,425.3333,941.32355,0.029158803,102.666306,0,1.4402916,5.929551,110.03615,27.509037,0,102.666306,31.34667,62.69334,424.94476,2124.7239,467.0822,2802.4932,1164.9104,8154.3726,1164.9104,8154.3726,0.14543366,0.036358416,4,4,4,1
"7",375.67065,933.5156,0.026051816,399.55377,948.7383,0.039729163,435.1708,948.04156,0.041841656,425.64218,941.46234,0.03126513,102.666306,0,222.91661,2.5876503,328.17056,82.04264,0,222.91661,54.77584,109.55168,439.92743,2199.6372,367.7944,2206.7664,412.07657,2884.536,1029.5519,8236.415,0.13888776,0.03472194,4,4,4,1
"8",375.67065,933.5156,0.020652892,397.4539,970.5004,0.034332428,389.83087,948.04156,0.044370275,425.64218,974.0503,0.026185641,0,167.07338,346.47665,249.02913,762.57916,190.64479,0,346.47665,136.34372,272.68744,477.3283,2386.6416,398.38034,2390.282,342.4873,2397.4111,936.34,8427.061,0.12554124,0.03138531,4,4,4,1
"9",441.50427,983.0792,0.029421264,444.4798,970.8144,0.030802386,389.83087,948.174,0.039196488,440.94736,974.99146,0.029649321,629.7202,359.36847,1.012122,117.17932,1107.2802,276.82004,1.012122,629.7202,233.73242,467.46484,122.44016,612.2008,443.91025,2663.4617,381.0146,2667.102,870.388,8703.88,0.12906946,0.032267366,4,4,4,1
