,Video,Animal,Body-part,Corrections,Correction ratio (%)
0,test,Animal_1,head,0,0.0
1,test,Animal_1,center,0,0.0
2,test,Animal_1,leftleg,0,0.0
3,test,Animal_1,rightleg,0,0.0
4,try2,Animal_1,head,0,0.0
5,try2,Animal_1,center,0,0.0
6,try2,Animal_1,leftleg,0,0.0
7,try2,Animal_1,rightleg,0,0.0
8,try3,Animal_1,head,0,0.0
9,try3,Animal_1,center,0,0.0
10,try3,Animal_1,leftleg,0,0.0
11,try3,Animal_1,rightleg,0,0.0
12,video-20231012-045518-7502573c,Animal_1,head,0,0.0
13,video-20231012-045518-7502573c,Animal_1,center,0,0.0
14,video-20231012-045518-7502573c,Animal_1,leftleg,0,0.0
15,video-20231012-045518-7502573c,Animal_1,rightleg,0,0.0
16,video-20231012-055330-3c9be964,Animal_1,head,0,0.0
17,video-20231012-055330-3c9be964,Animal_1,center,0,0.0
18,video-20231012-055330-3c9be964,Animal_1,leftleg,0,0.0
19,video-20231012-055330-3c9be964,Animal_1,rightleg,0,0.0
